city;cases;pop;lat;lon;
Öttömös;36;696;46.281858;19.6813952;
Völcsej;21;406;47.4979685;16.7629544;
Kaposvár;3273;63298;46.3564692;17.7886886;
Takácsi;45;871;47.4004007;17.4698442;
Szekszárd;1678;32488;46.3484884;18.701663;
Taszár;104;2018;46.3736269;17.9051541;
Nemesapáti;26;505;46.8713868;16.9478159;
Kisszállás;126;2448;46.2806553;19.4912631;
Zagyvaszántó;97;1888;47.7755885;19.6705195;
Kaposmérő;126;2453;46.3612591;17.7055288;
Zalaegerszeg;2952;57513;46.8415803;16.8456316;
Nézsa;60;1169;47.8448824;19.2976212;
Pankasz;23;450;46.8381922;16.4996403;
Nyirád;101;1977;47.0054415;17.4545594;
Felcsút;97;1899;47.4545349;18.5862386;
Ostoros;140;2744;47.8669963;20.4288434;
Budakalász;582;11411;47.6192785;19.0468565;
Mohora;51;1000;47.9935415;19.3381818;
Sopronkövesd;64;1256;47.5447471;16.7448252;
Hajdúböszörmény;1571;30854;47.6716617;21.5078944;
Szalmatercs;23;452;48.1220172;19.6375969;
Ölbő;38;748;47.30113;16.8599883;
Sarród;49;965;47.6343381;16.8608589;
Mende;211;4156;44.5180226;3.4991057;
Szakoly;142;2797;47.7616355;21.901328;
Sárospatak;623;12304;48.3216823;21.5655524;
Kálócfa;8;158;46.7563725;16.5609609;
Vinár;12;237;47.3107601;17.2822981;
Nagytőke;21;415;46.7573133;20.2855944;
Andornaktálya;140;2767;47.8436439;20.4125987;
Báránd;132;2611;47.292012;21.2259672;
Vámosújfalu;37;732;48.2576097;21.4503435;
Mátraszőlős;77;1524;47.9449844;19.7012118;
Kaszó;5;99;46.3200205;17.2239763;
Pula;10;198;44.8702281;13.8455311;
Harka;128;2535;47.6342337;16.602306;
Nárai;74;1466;47.1933562;16.5535138;
Berkesd;45;892;46.076158;18.4085333;
Dunakiliti;101;2003;47.9662482;17.2882323;
Tolmács;38;754;47.9294431;19.1090835;
Klárafalva;26;516;46.2208865;20.3250362;
Szanda;31;616;47.9278532;19.4404136;
Söpte;40;795;47.2818913;16.6509297;
Ajka;1431;28455;47.1056579;17.5587276;
Baté;40;796;46.3589904;17.9627787;
Géderlak;50;995;46.6085156;18.9140472;
Lovászi;58;1156;46.5555129;16.556419;
Sátoraljaújhely;748;14947;48.3960978;21.6561497;
Kadarkút;123;2458;46.2324884;17.6140623;
Bicsérd;53;1060;46.0225603;18.0815466;
Eplény;26;520;47.2080297;17.9167432;
Hegyeshalom;183;3660;47.9144882;17.1558011;
Kisbárkány;8;160;48.0163213;19.6853901;
Sé;70;1402;59.6749712;14.5208584;
Szeleste;33;661;47.3129566;16.8311576;
Csákberény;59;1182;47.3488619;18.3285962;
Nagyigmánd;143;2867;47.6350173;18.076194;
Kapolcs;19;381;46.9559035;17.6089272;
Sitke;37;742;47.242815;17.0242831;
Iszkaszentgyörgy;108;2166;47.2381981;18.2950197;
Ricse;93;1868;48.3232066;21.9724499;
Szil;68;1366;47.5013162;17.2319589;
Szákszend;74;1487;47.5502393;18.1694103;
Nagyszénás;242;4863;46.6715027;20.6727493;
Babót;55;1106;47.5760021;17.0756829;
Kisapáti;18;362;46.8426169;17.4671857;
Hercegszántó;97;1952;45.950602;18.93584;
Vértesboglár;45;906;47.4291239;18.5241296;
Nagyesztergár;59;1188;47.276735;17.9050628;
Soponya;92;1854;47.0111124;18.4558342;
Padár;6;121;46.8520274;17.0163699;
Algyő;271;5473;46.335276;20.2084058;
Karcag;993;20074;47.314646;20.9240941;
Magyarnándor;55;1112;47.9675683;19.3487659;
Bakonyszentkirály;41;829;47.3639276;17.8826006;
Nagykölked;8;162;47.0658824;16.5546118;
Deszk;193;3909;46.218246;20.2378885;
Lovasberény;132;2676;47.3031905;18.5628926;
Szalánta;58;1176;45.9473169;18.2373967;
Tömörkény;85;1724;46.6155119;20.0412662;
Nyúl;219;4443;47.5899177;17.6889689;
Nyergesújfalu;370;7508;47.7607852;18.5545212;
Komádi;274;5562;47.0013136;21.488646;
Abony;736;14941;47.1887402;20.0047823;
Gödöllő;1577;32043;47.6052871;19.3535185;
Sajóvámos;105;2134;48.181943;20.8321005;
Horváthertelend;3;61;46.1768736;17.9275201;
Tokorcs;18;366;47.2697913;17.0997957;
Nádudvar;431;8767;47.4285575;21.1593087;
Sopron;2862;58294;47.6803063;16.5983457;
Lesencetomaj;55;1121;46.8565807;17.3611554;
Gálosfa;12;245;46.2561956;17.8855267;
Csempeszkopács;16;327;47.1549835;16.805321;
Budapest IX. kerület;2662;54460;47.4653558;19.0903564;
Zsadány;80;1638;46.92174;21.4861925;
Csikóstőttős;41;840;46.3404713;18.1557109;
Zalakomár;144;2952;46.5463542;17.1756684;
Dány;218;4473;47.5222089;19.5508325;
Vasmegyer;85;1746;48.1111158;21.8148518;
Kozármisleny;313;6434;46.0487525;18.2860822;
Darnózseli;77;1584;47.8504906;17.4269011;
Kávás;12;247;46.8619846;16.7086719;
Veszprém;2717;55936;47.0928058;17.9140147;
Szolnok;3417;70447;47.1754555;20.1946818;
Újbarok;21;433;47.4785356;18.557874;
Fülöp;84;1735;47.5990893;22.0562573;
Felsőörs;89;1839;47.0151318;17.9526151;
Kishartyán;27;558;48.0840764;19.7041459;
Nagyalásony;24;496;47.2302982;17.3565167;
Pilisszántó;127;2628;47.6697354;18.886467;
Naszály;117;2423;47.6979874;18.263462;
Balatonfűzfő;217;4501;47.0620043;18.0409677;
Pogány;62;1287;45.9841107;18.2604675;
Nagydém;17;353;47.4387396;17.6743212;
Zalaháshágy;18;374;46.8917801;16.62606;
Zalaújlak;5;104;46.5606449;17.0777104;
Alcsútdoboz;71;1477;47.4255086;18.6030614;
Tata;1112;23169;47.6500863;18.3181275;
Vámosgyörk;97;2022;47.68085;19.9279066;
Szilágy;13;271;46.1020415;18.4060811;
Rönök;20;417;46.9778713;16.3599704;
Várfölde;9;188;46.5553645;16.7613878;
Adorjánháza;19;397;47.2431039;17.239537;
Porrog;10;209;46.2867589;17.0346835;
Szigetvár;500;10450;46.0474395;17.7993511;
Érsekvadkert;174;3640;47.9960713;19.1989343;
Fülpösdaróc;17;356;47.9417525;22.4776938;
Rákóczifalva;260;5449;47.0898193;20.2343365;
Jásd;34;713;47.2829479;18.026161;
Harkakötöny;41;860;46.4634331;19.6074996;
Budapest II. kerület;4162;87410;47.538887;18.9826357;
Zselicszentpál;20;421;46.3061794;17.8214905;
Győr;5922;124685;47.687609;17.6346815;
Füzérkomlós;15;316;48.5133139;21.4528646;
Nógrád;75;1580;47.9873616;19.5472495;
Sajóörös;67;1413;47.9511834;21.0221987;
Sárvár;697;14705;47.2517426;16.9342165;
Bezenye;68;1435;47.9621234;17.2162083;
Csapod;27;570;47.5187717;16.9273194;
Egyházashollós;26;549;47.0550783;16.6954193;
Budapest XI. kerület;6289;132825;47.467215;19.0275212;
Nagymányok;109;2303;46.2824922;18.459239;
Mecsér;30;634;47.7964534;17.476957;
Nagyhajmás;16;339;46.3743383;18.2892032;
Polgárdi;328;6951;47.0563978;18.3067942;
Pókaszepetk;45;954;46.9256917;16.9685234;
Bakonszeg;56;1188;47.1895312;21.4454608;
Berettyóújfalu;702;14895;47.2247273;21.5355206;
Alsóregmec;9;191;48.4653024;21.6171608;
Bekecs;115;2441;48.1515919;21.1711437;
Kétsoprony;65;1380;46.7191754;20.883979;
Sajólászlófalva;21;446;48.1849579;20.6749923;
Kozárd;8;170;47.9140209;19.6182149;
Tar;88;1870;-28.579397200000002;24.086794125366062;
Vasszécseny;64;1360;47.1817551;16.7679618;
Szany;101;2147;47.4617917;17.3048321;
